Number,Name,DMX-red,DMX-green,DMX-blue
741,Mustard Yellow,255,228,2
742,Bram Brown,255,193,69
744,Dirty White,255,198,80
746,Brown,255,155,19
747,Easy White,255,181,125
748,Seedy Pink,255,118,163
763,Wheat,255,245,174
764,Sun Colour Straw,255,238,141
765,LEE Yellow,255,240,102
767,Oklahoma Yellow,255,220,12
768,Egg Yolk Yellow,255,172,4
770,Burnt Yellow,255,149,5
773,Cardbox Amber,255,181,113
776,Nectarine,255,171,86
777,Rust,255,111,3
778,Millennium Gold,255,90,3
779,Bastard Pink,255,111,50
780,AS Golden Amber,255,82,0
781,Terry Red,255,59,2
787,Marius Red,255,11,1
789,Blood Red,255,34,0
790,Moroccan Pink,255,178,141
793,Vanity Fair,255,30,130
794,Pretty Pink,255,144,226
795,Magical Magenta,241,37,255
797,Deep Purple,110,3,255
798,Chrysalis Pink,58,7,255
799,Special KH Lavender,25,0,255
